Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG03AB01GE00S900,2011.06,51781,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2011,6
SNEQ.SG03AB01GE00S900,2011.09,51099,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2011,9
SNEQ.SG03AB01GE00S900,2011.12,56347,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2011,12
SNEQ.SG03AB01GE00S900,2012.03,54010,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2012,3
SNEQ.SG03AB01GE00S900,2012.06,53696,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2012,6
SNEQ.SG03AB01GE00S900,2012.09,51755,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2012,9
SNEQ.SG03AB01GE00S900,2012.12,56824,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2012,12
SNEQ.SG03AB01GE00S900,2013.03,55585,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2013,3
SNEQ.SG03AB01GE00S900,2013.06,54953,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2013,6
SNEQ.SG03AB01GE00S900,2013.09,55188,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2013,9
SNEQ.SG03AB01GE00S900,2013.12,62451,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2013,12
SNEQ.SG03AB01GE00S900,2014.03,60246,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2014,3
